# Luminosity function for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/admm_cond.txt
# binsize = 0.25, N = 12616
# mag_center  count
   -1.8750            0
   -1.6250            1
   -1.3750            1
   -1.1250            6
   -0.8750            7
   -0.6250           12
   -0.3750           24
   -0.1250           48
    0.1250           73
    0.3750           60
    0.6250           81
    0.8750           80
    1.1250           84
    1.3750          130
    1.6250          181
    1.8750          269
    2.1250          428
    2.3750          587
    2.6250          876
    2.8750         1100
    3.1250         1534
    3.3750         1760
    3.6250         1761
    3.8750         1446
    4.1250         1014
    4.3750          528
    4.6250          280
    4.8750          129
    5.1250           59
    5.3750           31
    5.6250           14
    5.8750            4
    6.1250            4
    6.3750            2
    6.6250            0
    6.8750            1
    7.1250            0
    7.3750            0
    7.6250            0
    7.8750            0
    8.1250            1
    8.3750            0
    8.6250            0
    8.8750            0
