# Crowding errors for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/admm_cond.txt
# binsize=0.25, seeing=0.01710 arcsec, area=4.880575e-07 deg², N=12616
# Crowding error per Olsen, Blum & Rigaut 2003 (AJ 126, 452); completeness from their Fig. 14 (left) fit (sigma0=0.2359, sigma_s=0.1238)
# mag_center  count  N_per_deg2  crowd_error  completeness
   -1.8750            0     0.000000e+00   2.524251e-02          nan
   -1.6250            1     2.048939e+06   3.177844e-02     0.964346
   -1.3750            1     2.048939e+06   3.914929e-02     0.960018
   -1.1250            6     1.229363e+07   4.859264e-02     0.953734
   -0.8750            7     1.434257e+07   5.775043e-02     0.946749
   -0.6250           12     2.458727e+07   6.935935e-02     0.936462
   -0.3750           24     4.917454e+07   8.252308e-02     0.922572
   -0.1250           48     9.834907e+07   9.573078e-02     0.905889
    0.1250           73     1.495725e+08   1.061456e-01     0.890533
    0.3750           60     1.229363e+08   1.135890e-01     0.878248
    0.6250           81     1.659641e+08   1.279724e-01     0.851141
    0.8750           80     1.639151e+08   1.430327e-01     0.817616
    1.1250           84     1.721109e+08   1.643012e-01     0.760730
    1.3750          130     2.663621e+08   1.925696e-01     0.668189
    1.6250          181     3.708580e+08   2.234946e-01     0.549936
    1.8750          269     5.511646e+08   2.586137e-01     0.409280
    2.1250          428     8.769459e+08   2.962141e-01     0.274009
    2.3750          587     1.202727e+09   3.316856e-01     0.175458
    2.6250          876     1.794871e+09   3.667752e-01     0.107715
    2.8750         1100     2.253833e+09   3.921144e-01     0.074216
    3.1250         1534     3.143072e+09   4.111305e-01     0.055679
    3.3750         1760     3.606133e+09   4.047001e-01     0.061400
    3.6250         1761     3.608182e+09   3.743385e-01     0.096521
    3.8750         1446     2.962766e+09   3.202722e-01     0.203747
    4.1250         1014     2.077624e+09   2.538346e-01     0.428069
    4.3750          528     1.081840e+09   1.824817e-01     0.703282
    4.6250          280     5.737029e+08   1.301611e-01     0.846605
    4.8750          129     2.643131e+08   8.858929e-02     0.915275
    5.1250           59     1.208874e+08   6.069064e-02     0.944303
    5.3750           31     6.351711e+07   4.281943e-02     0.957679
    5.6250           14     2.868515e+07   2.831952e-02     0.966219
    5.8750            4     8.195756e+06   1.791434e-02     0.971296
    6.1250            4     8.195756e+06   1.539991e-02     0.972407
    6.3750            2     4.097878e+06   1.021745e-02     0.974566
    6.6250            0     0.000000e+00   5.451666e-03          nan
    6.8750            1     2.048939e+06   6.863241e-03     0.975876
    7.1250            0     0.000000e+00   2.605151e-03          nan
    7.3750            0     0.000000e+00   3.279691e-03          nan
    7.6250            0     0.000000e+00   4.128886e-03          nan
    7.8750            0     0.000000e+00   5.197959e-03          nan
    8.1250            1     2.048939e+06   6.543843e-03     0.975997
    8.3750            0     0.000000e+00   0.000000e+00          nan
    8.6250            0     0.000000e+00   0.000000e+00          nan
    8.8750            0     0.000000e+00   0.000000e+00          nan
