# Luminosity function for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/ef_input.txt
# binsize = 0.25, N = 781
# mag_center  count
   -1.8750            0
   -1.6250            0
   -1.3750            0
   -1.1250            0
   -0.8750            0
   -0.6250            2
   -0.3750            3
   -0.1250            7
    0.1250            4
    0.3750           13
    0.6250           30
    0.8750           64
    1.1250           73
    1.3750           80
    1.6250           76
    1.8750           73
    2.1250           90
    2.3750          131
    2.6250           82
    2.8750           38
    3.1250           11
    3.3750            4
    3.6250            0
    3.8750            0
    4.1250            0
    4.3750            0
    4.6250            0
    4.8750            0
    5.1250            0
    5.3750            0
    5.6250            0
    5.8750            0
    6.1250            0
    6.3750            0
    6.6250            0
    6.8750            0
    7.1250            0
    7.3750            0
    7.6250            0
    7.8750            0
    8.1250            0
    8.3750            0
    8.6250            0
    8.8750            0
