# Crowding errors for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/ef_input.txt
# binsize=0.25, seeing=0.01710 arcsec, area=4.880575e-07 deg², N=781
# Crowding error per Olsen, Blum & Rigaut 2003 (AJ 126, 452); completeness from their Fig. 14 (left) fit (sigma0=0.2359, sigma_s=0.1238)
# mag_center  count  N_per_deg2  crowd_error  completeness
   -1.8750            0     0.000000e+00   1.034718e-02          nan
   -1.6250            0     0.000000e+00   1.302632e-02          nan
   -1.3750            0     0.000000e+00   1.639917e-02          nan
   -1.1250            0     0.000000e+00   2.064533e-02          nan
   -0.8750            0     0.000000e+00   2.599093e-02          nan
   -0.6250            2     4.097878e+06   3.272064e-02     0.963819
   -0.3750            3     6.146817e+06   3.951094e-02     0.959793
   -0.1250            7     1.434257e+07   4.765077e-02     0.954400
    0.1250            4     8.195756e+06   5.588895e-02     0.948245
    0.3750           13     2.663621e+07   6.840366e-02     0.937375
    0.6250           30     6.146817e+07   8.083022e-02     0.924503
    0.8750           64     1.311321e+08   9.120798e-02     0.911937
    1.1250           73     1.495725e+08   9.402660e-02     0.908210
    1.3750           80     1.639151e+08   9.517180e-02     0.906656
    1.6250           76     1.557194e+08   9.447748e-02     0.907601
    1.8750           73     1.495725e+08   9.480912e-02     0.907151
    2.1250           90     1.844045e+08   9.639433e-02     0.904971
    2.3750          131     2.684110e+08   9.283581e-02     0.909802
    2.6250           82     1.680130e+08   6.905547e-02     0.936754
    2.8750           38     7.785968e+07   4.463887e-02     0.956472
    3.1250           11     2.253833e+07   2.406483e-02     0.968392
    3.3750            4     8.195756e+06   1.308769e-02     0.973391
    3.6250            0     0.000000e+00   0.000000e+00          nan
    3.8750            0     0.000000e+00   0.000000e+00          nan
    4.1250            0     0.000000e+00   0.000000e+00          nan
    4.3750            0     0.000000e+00   0.000000e+00          nan
    4.6250            0     0.000000e+00   0.000000e+00          nan
    4.8750            0     0.000000e+00   0.000000e+00          nan
    5.1250            0     0.000000e+00   0.000000e+00          nan
    5.3750            0     0.000000e+00   0.000000e+00          nan
    5.6250            0     0.000000e+00   0.000000e+00          nan
    5.8750            0     0.000000e+00   0.000000e+00          nan
    6.1250            0     0.000000e+00   0.000000e+00          nan
    6.3750            0     0.000000e+00   0.000000e+00          nan
    6.6250            0     0.000000e+00   0.000000e+00          nan
    6.8750            0     0.000000e+00   0.000000e+00          nan
    7.1250            0     0.000000e+00   0.000000e+00          nan
    7.3750            0     0.000000e+00   0.000000e+00          nan
    7.6250            0     0.000000e+00   0.000000e+00          nan
    7.8750            0     0.000000e+00   0.000000e+00          nan
    8.1250            0     0.000000e+00   0.000000e+00          nan
    8.3750            0     0.000000e+00   0.000000e+00          nan
    8.6250            0     0.000000e+00   0.000000e+00          nan
    8.8750            0     0.000000e+00   0.000000e+00          nan
