# Luminosity function for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/l160.txt
# binsize = 0.25, N = 5909
# mag_center  count
   -1.8750            3
   -1.6250            5
   -1.3750            7
   -1.1250            9
   -0.8750           21
   -0.6250           60
   -0.3750           73
   -0.1250           83
    0.1250           83
    0.3750           78
    0.6250           87
    0.8750          138
    1.1250          201
    1.3750          376
    1.6250          576
    1.8750          835
    2.1250         1014
    2.3750         1058
    2.6250          749
    2.8750          314
    3.1250          113
    3.3750           24
    3.6250            2
    3.8750            0
    4.1250            0
    4.3750            0
    4.6250            0
    4.8750            0
    5.1250            0
    5.3750            0
    5.6250            0
    5.8750            0
    6.1250            0
    6.3750            0
    6.6250            0
    6.8750            0
    7.1250            0
    7.3750            0
    7.6250            0
    7.8750            0
    8.1250            0
    8.3750            0
    8.6250            0
    8.8750            0
