# Crowding errors for band K from /home/alex/noir_ml/mycode/ef_out/lumfunc/l160.txt
# binsize=0.25, seeing=0.01710 arcsec, area=4.880575e-07 deg², N=5909
# Crowding error per Olsen, Blum & Rigaut 2003 (AJ 126, 452); completeness from their Fig. 14 (left) fit (sigma0=0.2359, sigma_s=0.1238)
# mag_center  count  N_per_deg2  crowd_error  completeness
   -1.8750            3     6.146817e+06   4.050155e-02     0.959171
   -1.6250            5     1.024469e+07   4.895116e-02     0.953477
   -1.3750            7     1.434257e+07   5.880821e-02     0.945881
   -1.1250            9     1.844045e+07   7.075398e-02     0.935109
   -0.8750           21     4.302772e+07   8.557665e-02     0.918974
   -0.6250           60     1.229363e+08   1.009035e-01     0.898519
   -0.3750           73     1.495725e+08   1.098387e-01     0.884580
   -0.1250           83     1.700619e+08   1.190236e-01     0.868544
    0.1250           83     1.700619e+08   1.296901e-01     0.847591
    0.3750           78     1.598172e+08   1.449969e-01     0.812837
    0.6250           87     1.782577e+08   1.674134e-01     0.751459
    0.8750          138     2.827536e+08   1.962540e-01     0.654863
    1.1250          201     4.118367e+08   2.273266e-01     0.534571
    1.3750          376     7.704011e+08   2.612693e-01     0.398950
    1.6250          576     1.180189e+09   2.875222e-01     0.302808
    1.8750          835     1.710864e+09   3.031988e-01     0.252143
    2.1250         1014     2.077624e+09   2.983766e-01     0.267114
    2.3750         1058     2.167777e+09   2.688541e-01     0.369963
    2.6250          749     1.534655e+09   2.067743e-01     0.615509
    2.8750          314     6.433668e+08   1.301148e-01     0.846703
    3.1250          113     2.315301e+08   7.430625e-02     0.931538
    3.3750           24     4.917454e+07   3.289016e-02     0.963724
    3.6250            2     4.097878e+06   9.254392e-03     0.974949
    3.8750            0     0.000000e+00   0.000000e+00          nan
    4.1250            0     0.000000e+00   0.000000e+00          nan
    4.3750            0     0.000000e+00   0.000000e+00          nan
    4.6250            0     0.000000e+00   0.000000e+00          nan
    4.8750            0     0.000000e+00   0.000000e+00          nan
    5.1250            0     0.000000e+00   0.000000e+00          nan
    5.3750            0     0.000000e+00   0.000000e+00          nan
    5.6250            0     0.000000e+00   0.000000e+00          nan
    5.8750            0     0.000000e+00   0.000000e+00          nan
    6.1250            0     0.000000e+00   0.000000e+00          nan
    6.3750            0     0.000000e+00   0.000000e+00          nan
    6.6250            0     0.000000e+00   0.000000e+00          nan
    6.8750            0     0.000000e+00   0.000000e+00          nan
    7.1250            0     0.000000e+00   0.000000e+00          nan
    7.3750            0     0.000000e+00   0.000000e+00          nan
    7.6250            0     0.000000e+00   0.000000e+00          nan
    7.8750            0     0.000000e+00   0.000000e+00          nan
    8.1250            0     0.000000e+00   0.000000e+00          nan
    8.3750            0     0.000000e+00   0.000000e+00          nan
    8.6250            0     0.000000e+00   0.000000e+00          nan
    8.8750            0     0.000000e+00   0.000000e+00          nan
