index,flux_ratio,peak_ratio,rmse
0,1.8449605363165954e-216,8.676661230218071e-219,inf
1,6.517730172189013e-215,5.390765192288762e-217,inf
2,3.7482246222604774e-267,3.224078585883414e-269,inf
3,1.0426250952348834e-173,6.1754217558885995e-176,inf
4,5.292010201220642e-225,3.2237514544155763e-227,inf
5,0.0,0.0,inf
6,0.0,0.0,inf
7,3.816285509902659e-243,3.344414529730498e-245,inf
8,0.0,0.0,inf
9,1.230435536784884e-240,9.327598850422782e-243,inf
10,4.102206381348368e-114,1.5721741556352514e-116,8.848577102825716e+114
11,0.0,0.0,inf
12,0.0,0.0,inf
13,0.0,0.0,inf
14,2.3957388239271243e-174,1.2647210004067058e-176,inf
15,1.270227800156958e-147,7.115585897852872e-150,3.1184091161867586e+148
16,0.0,0.0,inf
17,0.0,0.0,inf
18,0.0,0.0,inf
19,7.243220354706156e-204,4.517128546112683e-206,inf
20,1.3618806222924823e-157,7.261915525327688e-160,inf
21,0.0,0.0,inf
22,5.639985439395336e-227,3.619893536753421e-229,inf
23,1.1004937067215978e-302,6.954746283512706e-305,inf
24,5.989843997747817e-125,2.7959994680015424e-127,5.632449266855902e+125
25,0.0,0.0,inf
26,0.0,0.0,inf
27,9.864756176015005e-145,5.545922339365214e-147,3.0746772490986334e+145
28,1.5116332057727265e-122,9.627849640384854e-125,2.2484781601253282e+123
29,1.2253611707336652e-238,8.247907300939937e-241,inf
30,2.341332717091605e-162,1.3233631325195984e-164,inf
31,5.697729879028556e-207,3.1487516642795234e-209,inf
32,2.5547075482713505e-271,1.6297120840235752e-273,inf
33,0.0,0.0,inf
34,1.3922866791653724e-143,6.898892560135341e-146,2.61880955082299e+144
35,0.0,0.0,inf
36,7.524775799854922e-208,4.8062694559980706e-210,inf
37,4.3406772842066603e-293,3.080895535690691e-295,inf
38,2.0504265818976156e-226,1.854791629480001e-228,inf
39,1.326490792961911e-211,9.971957704609164e-214,inf
40,9.299571997604384e-168,6.4121811273315655e-170,inf
41,1.0180258325922795e-110,5.431216621264061e-113,3.3318823666378486e+111
42,4.1075877016900236e-161,2.1887002046535323e-163,inf
43,2.2240706205597773e-254,1.24161118398973e-256,inf
44,1.3144223815098544e-292,7.982552053398807e-295,inf
45,6.918836449831344e-159,4.822361263640204e-161,inf
46,3.8081117886228827e-178,2.5292572279450222e-180,inf
47,2.3123522176458827e-58,9.952619724411463e-61,1.290994643189957e+59
48,5.135008308417013e-176,3.245197084609409e-178,inf
49,0.0,0.0,inf
50,7.420206184313819e-207,5.822450063615172e-209,inf
51,1.909288027467173e-197,1.1474543838278855e-199,inf
52,3.061760436043545e-228,1.704347517395635e-230,inf
53,0.0,0.0,inf
54,0.0,0.0,inf
55,2.5046375902787616e-131,1.5764309495900686e-133,1.3960058771734408e+132
56,4.224197204554717e-177,2.444952536150075e-179,inf
57,0.0,0.0,inf
58,0.0,0.0,inf
59,0.0,0.0,inf
60,5.231247194778985e-240,4.27100782259325e-242,inf
61,1.072323090938806e-154,6.359424271480944e-157,inf
62,4.13396326994225e-185,3.0926361441184474e-187,inf
63,6.679578106019922e-148,4.238690794727045e-150,4.670703388947923e+148
