method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
ADMM+cond (sky const),-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,129,95.55555555555556,1.7736577773894284,0.13374247071953674,0.11364570888484278,0.514408777476992,129
ADMM+cond (sky const),-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,144,91.71974522292993,2.1993960643745094,0.22502674272395734,0.15536550061250692,0.5762378708494511,144
ADMM+cond (sky const),0.2861736396029616,0.760901980557656,0.5235378100803088,166,156,93.97590361445783,1.846716234605661,0.24474461434668246,0.25025471911944513,0.7152658331963062,156
ADMM+cond (sky const),0.760901980557656,1.2356303215123503,0.9982661510350032,313,274,87.53993610223642,1.8667711420025324,0.33408502041831,0.28260706783839595,0.8418409838088985,274
ADMM+cond (sky const),1.2356303215123503,1.7103586624670446,1.4729944919896973,852,726,85.21126760563381,1.2161697327201324,0.42761621795067123,0.39204245292177015,0.99768873375322,726
ADMM+cond (sky const),1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1329,78.1305114638448,1.002253288735442,0.45361127126267453,0.43628762210213884,1.086520302883172,1329
ADMM+cond (sky const),2.185087003421739,2.659815344376433,2.422451173899086,1853,1211,65.35348084187804,1.1054178078771768,0.4944006928905226,0.441190181681188,1.0248122386886371,1211
ADMM+cond (sky const),2.659815344376433,3.1345436853311277,2.8971795148537804,612,354,57.84313725490196,1.9961094503833585,0.4782143666280342,0.42964759432322425,0.836025343484414,354
ADMM+cond (sky auto),-0.6632830423064271,-0.18855470135173275,-0.42591887182907995,135,129,95.55555555555556,1.7736577773894284,0.13374083314010082,0.11379953302827911,0.5143108466783612,129
ADMM+cond (sky auto),-0.18855470135173275,0.2861736396029616,0.04880946912561443,157,144,91.71974522292993,2.1993960643745094,0.22500962584922773,0.15533695339972073,0.5762234606583811,144
ADMM+cond (sky auto),0.2861736396029616,0.760901980557656,0.5235378100803088,166,156,93.97590361445783,1.846716234605661,0.244725332559394,0.2502539476390543,0.7152347297320785,156
ADMM+cond (sky auto),0.760901980557656,1.2356303215123503,0.9982661510350032,313,274,87.53993610223642,1.8667711420025324,0.33404076853307557,0.2825592632984636,0.8418102422185709,274
ADMM+cond (sky auto),1.2356303215123503,1.7103586624670446,1.4729944919896973,852,726,85.21126760563381,1.2161697327201324,0.42751641404134055,0.39207881059470534,0.9975062901331301,726
ADMM+cond (sky auto),1.7103586624670446,2.185087003421739,1.9477228329443919,1701,1329,78.1305114638448,1.002253288735442,0.45346261194649334,0.4360744551746244,1.0862363648473625,1329
ADMM+cond (sky auto),2.185087003421739,2.659815344376433,2.422451173899086,1853,1211,65.35348084187804,1.1054178078771768,0.4941150026942092,0.4413176280950654,1.0246749507461832,1211
ADMM+cond (sky auto),2.659815344376433,3.1345436853311277,2.8971795148537804,612,354,57.84313725490196,1.9961094503833585,0.4780051181257902,0.4294540831427097,0.8354045912573596,354
