method,mag_lo,mag_hi,mag_mid,n_input,n_recovered,completeness,completeness_err,phot_scatter_mag,phot_scatter_mad,phot_bias_mag,n_phot
"L1 (FISTA, tau=0.008)",-1.9924951327741838,-1.2136383300434535,-1.6030667314088185,71,71,100.0,0.0,0.02509736830592266,0.006669407648188664,0.012778589226188242,71
"L1 (FISTA, tau=0.008)",-1.2136383300434535,-0.4347815273127231,-0.8242099286780883,50,50,100.0,0.0,0.05997544798923303,0.029453350428406678,0.016506551535113156,50
"L1 (FISTA, tau=0.008)",-0.4347815273127231,0.3440752754180074,-0.04535312594735785,60,58,96.66666666666667,2.3174059571793566,0.05473340343348737,0.03007454321902435,0.024148486638039687,58
"L1 (FISTA, tau=0.008)",0.3440752754180074,1.1229320781487375,0.7335036767833725,207,194,93.71980676328502,1.6862308203856429,0.15804446090687038,0.08419215168607631,0.08790450415576362,194
"L1 (FISTA, tau=0.008)",1.1229320781487375,1.9017888808794676,1.5123604795141026,847,715,84.41558441558442,1.2462778345023557,0.25879346474634124,0.16822223908361558,0.15942602636380898,715
"L1 (FISTA, tau=0.008)",1.9017888808794676,2.680645683610199,2.2912172822448333,1504,990,65.82446808510639,1.2230026622418686,0.4538432868726806,0.3293630904299605,0.23900803153688344,990
"L1 (FISTA, tau=0.008)",2.680645683610199,3.459502486340929,3.070074084975564,1024,401,39.16015625,1.5253386494748067,0.6429975526288142,0.5842331665608748,0.3003304860454712,401
"L1 (FISTA, tau=0.008)",3.459502486340929,4.238359289071659,3.848930887706294,253,47,18.57707509881423,2.445128892109658,0.9501430630071749,0.833066773694883,-0.17844768468154637,47
ADMM+diffusion (FFT),-1.9924951327741838,-1.2136383300434535,-1.6030667314088185,71,71,100.0,0.0,0.06884133074932014,0.05221150327366151,0.017687703724919013,71
ADMM+diffusion (FFT),-1.2136383300434535,-0.4347815273127231,-0.8242099286780883,50,50,100.0,0.0,0.07732717387855904,0.060249109303539335,0.013332015086434224,50
ADMM+diffusion (FFT),-0.4347815273127231,0.3440752754180074,-0.04535312594735785,60,60,100.0,0.0,0.05147966113954957,0.05052430105997888,0.00506238651130006,60
ADMM+diffusion (FFT),0.3440752754180074,1.1229320781487375,0.7335036767833725,207,202,97.58454106280193,1.0671001199071612,0.08546424770392134,0.06750400722763703,0.0008752652380811798,202
ADMM+diffusion (FFT),1.1229320781487375,1.9017888808794676,1.5123604795141026,847,793,93.6245572609209,0.8394761422309813,0.1700243260771645,0.10344159414137219,-0.01380698042671824,793
ADMM+diffusion (FFT),1.9017888808794676,2.680645683610199,2.2912172822448333,1504,1268,84.30851063829788,0.9378726556446696,0.24306136888862526,0.19186200991268224,-0.03325528965835689,1268
ADMM+diffusion (FFT),2.680645683610199,3.459502486340929,3.070074084975564,1024,695,67.87109375,1.4592860010933506,0.35802143740753867,0.2709795847945493,-0.16450380604853487,695
ADMM+diffusion (FFT),3.459502486340929,4.238359289071659,3.848930887706294,253,127,50.19762845849802,3.143448512283451,0.5792027202820025,0.4516860570234145,-0.3741948085641362,127
Conditional sampler,-1.9924951327741838,-1.2136383300434535,-1.6030667314088185,71,71,100.0,0.0,0.06498826910208284,0.05798189316789122,0.012845101774494605,71
Conditional sampler,-1.2136383300434535,-0.4347815273127231,-0.8242099286780883,50,50,100.0,0.0,0.08317827283713555,0.08212064651676183,0.0011323011164578456,50
Conditional sampler,-0.4347815273127231,0.3440752754180074,-0.04535312594735785,60,60,100.0,0.0,0.06677654444978563,0.06279552578182396,0.02931075881330404,60
Conditional sampler,0.3440752754180074,1.1229320781487375,0.7335036767833725,207,203,98.06763285024155,0.9568029296846041,0.11368230718640732,0.06923857195944252,0.07864015163304172,203
Conditional sampler,1.1229320781487375,1.9017888808794676,1.5123604795141026,847,793,93.6245572609209,0.8394761422309813,0.14541216380199698,0.10647913453742705,0.12380722133978361,793
Conditional sampler,1.9017888808794676,2.680645683610199,2.2912172822448333,1504,1284,85.37234042553192,0.9112175966936343,0.25998482534283335,0.20862367280379354,0.23231410189989732,1284
Conditional sampler,2.680645683610199,3.459502486340929,3.070074084975564,1024,648,63.28125,1.5063694190334325,0.38826563692437027,0.3133192295675253,0.3202649157390469,648
Conditional sampler,3.459502486340929,4.238359289071659,3.848930887706294,253,111,43.873517786561266,3.1197865385630608,0.9289940846689846,0.634407914110205,0.31595828213530464,109
