truth_x,truth_y,recon_x,recon_y,dist_px,truth_flux,recon_flux,flux_ratio
22.57,3.80,22.65,4.07,0.283,6.4587e-05,5.2627e-05,0.815
34.29,4.04,34.61,4.08,0.326,3.3858e-05,2.3129e-05,0.683
12.07,5.53,12.23,5.60,0.178,5.2086e-05,4.2429e-05,0.815
42.15,5.14,42.13,5.23,0.086,4.2175e-05,3.1387e-05,0.744
49.93,6.64,49.89,6.61,0.048,8.5185e-05,7.6308e-05,0.896
53.05,6.54,53.02,6.55,0.028,7.1071e-05,6.9205e-05,0.974
16.88,6.91,16.89,6.94,0.028,1.5508e-04,1.5784e-04,1.018
4.80,7.23,4.76,7.17,0.066,1.4582e-04,1.3596e-04,0.932
24.97,7.88,24.93,7.87,0.037,6.4789e-05,5.5613e-05,0.858
36.26,8.61,36.36,8.53,0.133,5.3622e-05,4.4343e-05,0.827
52.89,9.00,52.85,9.09,0.105,7.8024e-05,6.8168e-05,0.874
56.43,10.03,56.52,10.05,0.100,7.5611e-05,6.7227e-05,0.889
9.43,10.61,9.53,10.50,0.150,1.1947e-04,1.2566e-04,1.052
15.03,11.32,15.01,11.62,0.307,2.3353e-05,1.4921e-05,0.639
44.53,11.21,44.51,11.24,0.036,6.8859e-05,5.7468e-05,0.835
40.48,11.97,40.71,12.23,0.344,2.0774e-05,1.8391e-05,0.885
27.76,13.13,27.75,13.12,0.010,7.4850e-05,6.5876e-05,0.880
50.14,13.37,50.30,13.03,0.370,3.5184e-05,3.8587e-05,1.097
54.70,13.17,54.59,13.18,0.103,6.1680e-05,5.2835e-05,0.857
10.13,14.77,10.16,14.90,0.130,3.2100e-05,2.1623e-05,0.674
16.74,15.40,16.72,15.44,0.049,1.2599e-04,1.1685e-04,0.927
35.23,14.47,35.27,14.45,0.044,4.9504e-05,4.1049e-05,0.829
23.15,16.11,23.16,16.04,0.067,4.5828e-05,3.7687e-05,0.822
30.39,15.73,30.35,15.75,0.044,8.0642e-05,7.1496e-05,0.887
39.99,15.88,39.99,15.85,0.027,7.6067e-05,6.7474e-05,0.887
